,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
NE-502,452,333,333,73.67%,328,124,0,63,235,205,12,10,44,328,278,278,84.76%,0,63,40,147,175,6,10,8,124,55,55,44.35%,23,88,30,6,0,36,0,0,0,,0,0,0,0,0,0,293,223,266,90.78%,65,206,87,0,28,6,305,305,305,100.00%,18,44,261,0,183,28,107,304,304,304,100.00%,32,105,199,0,0,0
NH-500,1588,1503,1426,89.80%,1462,126,0,226,727,859,2,0,39,1462,1377,1311,89.67%,180,56,195,622,838,2,0,6,126,126,115,91.27%,31,105,21,0,0,33,0,0,0,,0,0,0,0,0,0,141,111,102,72.34%,37,92,49,0,24,7,559,559,338,60.47%,84,230,329,0,221,0,94,128,128,6,4.69%,37,89,39,0,0,0
NH-501,554,542,542,97.83%,365,185,4,86,253,297,4,45,42,365,353,353,96.71%,0,0,37,122,239,4,0,18,185,185,185,100.00%,49,131,54,0,45,24,4,4,4,100.00%,0,0,4,0,0,0,27,27,27,100.00%,4,13,11,3,10,3,441,441,154,34.92%,76,197,244,0,300,0,29,353,353,108,30.59%,37,131,222,0,0,3
NH-502,459,437,371,80.83%,258,196,5,104,277,182,0,63,0,258,244,178,68.99%,30,0,41,136,122,0,2,0,196,188,188,95.92%,63,141,55,0,61,0,5,5,5,100.00%,0,0,5,0,0,0,15,15,15,100.00%,3,10,5,0,3,0,222,222,158,71.17%,20,65,157,0,66,0,115,80,80,33,41.25%,24,67,13,0,0,0
NJ-500,181,159,159,87.85%,104,77,0,9,27,154,0,45,49,104,94,94,90.38%,0,78,6,15,89,0,0,29,77,65,65,84.42%,3,12,65,0,45,20,0,0,0,,0,0,0,0,0,0,112,112,112,100.00%,3,8,104,0,31,2,189,189,116,61.38%,7,27,162,0,73,9,169,27,27,0,0.00%,5,12,15,0,0,0
NJ-501,439,324,324,73.80%,237,202,0,78,264,164,11,8,23,237,166,166,70.04%,0,109,50,142,84,11,0,11,202,158,158,78.22%,28,122,80,0,8,12,0,0,0,,0,0,0,0,0,0,84,84,64,76.19%,29,62,22,0,20,0,488,488,357,73.16%,55,154,334,0,136,7,204,483,483,0,0.00%,100,346,137,0,0,0
NJ-502,331,304,304,91.84%,292,39,0,84,280,46,5,0,5,292,265,265,90.75%,14,610,79,254,38,0,0,0,39,39,39,100.00%,5,26,8,5,0,5,0,0,0,,0,0,0,0,0,0,31,31,31,100.00%,8,16,15,0,24,3,338,338,203,60.06%,55,176,162,0,62,0,175,130,130,0,0.00%,28,77,53,0,0,0
NJ-503,690,591,577,83.62%,476,184,30,163,301,389,0,120,12,476,422,408,85.71%,0,402,150,236,240,0,0,0,184,139,139,75.54%,13,65,119,0,90,12,30,30,30,100.00%,0,0,30,0,30,0,135,112,112,82.96%,25,64,71,0,6,1,1026,1017,654,63.74%,161,450,576,0,317,58,564,107,107,0,0.00%,18,70,37,0,8,0
NJ-504,1711,1674,1666,97.37%,1263,448,0,332,907,804,0,38,64,1263,1226,1218,96.44%,0,78,218,603,660,0,34,48,448,448,448,100.00%,114,304,144,0,4,16,0,0,0,,0,0,0,0,0,0,600,600,584,97.33%,58,154,446,0,9,4,1142,1142,861,75.39%,257,509,633,0,281,61,756,67,67,0,0.00%,30,55,12,0,0,0
NJ-506,372,360,330,88.71%,310,62,0,55,141,231,0,1,21,310,298,273,88.06%,100,267,41,108,202,0,1,0,62,62,57,91.94%,14,33,29,0,0,21,0,0,0,,0,0,0,0,0,0,241,241,241,100.00%,66,190,51,0,7,11,612,612,479,78.27%,68,208,404,0,171,3,458,343,343,10,2.92%,199,282,61,0,0,0
NJ-507,172,142,142,82.56%,167,5,0,47,96,76,0,0,5,167,137,137,82.04%,0,370,47,96,71,0,0,0,5,5,5,100.00%,0,0,5,0,0,5,0,0,0,,0,0,0,0,0,0,126,126,125,99.21%,26,84,42,0,1,0,797,778,336,42.16%,213,489,308,0,183,6,301,231,223,147,63.64%,45,127,104,0,0,6
NJ-508,211,155,145,68.72%,89,122,0,40,116,95,0,0,10,89,44,44,49.44%,0,246,12,45,44,0,0,0,122,111,101,82.79%,28,71,51,0,0,10,0,0,0,,0,0,0,0,0,0,164,90,90,54.88%,37,110,54,0,6,3,493,493,400,81.14%,103,186,307,0,99,0,387,113,113,0,0.00%,62,82,31,0,0,0
NJ-509,226,185,185,81.86%,109,117,0,34,112,114,0,0,0,109,93,93,85.32%,13,245,13,52,57,0,0,0,117,92,92,78.63%,21,60,57,0,0,0,0,0,0,,0,0,0,0,0,0,88,51,51,57.95%,20,60,28,0,5,12,245,245,209,85.31%,40,91,154,0,36,0,147,113,113,0,0.00%,62,82,31,0,0,0
NJ-510,81,39,38,46.91%,69,12,0,9,46,35,0,1,24,69,27,26,37.68%,21,314,9,46,23,0,1,12,12,12,12,100.00%,0,0,12,0,0,12,0,0,0,,0,0,0,0,0,0,38,38,34,89.47%,9,24,14,0,4,0,348,348,101,29.02%,73,257,91,0,51,0,109,113,113,0,0.00%,51,88,25,0,0,0
NJ-511,280,251,162,57.86%,270,10,0,58,177,103,0,0,10,270,241,152,56.30%,0,114,58,177,93,0,0,0,10,10,10,100.00%,0,0,10,0,0,10,0,0,0,,0,0,0,0,0,0,44,44,44,100.00%,6,24,20,0,3,0,549,549,492,89.62%,52,129,420,0,69,16,332,354,354,107,30.23%,69,182,172,0,0,0
NJ-512,33,25,25,75.76%,33,0,0,26,33,0,0,0,6,33,25,25,75.76%,0,0,26,33,0,0,0,6,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
NJ-513,237,212,184,77.64%,80,157,0,38,86,143,8,95,30,80,65,62,77.50%,0,176,21,46,26,8,0,8,157,147,122,77.71%,17,40,117,0,95,22,0,0,0,,0,0,0,0,0,0,5,5,5,100.00%,1,2,3,0,4,0,269,269,32,11.90%,15,41,228,0,237,0,153,42,42,0,0.00%,11,26,16,0,0,0
NJ-514,317,272,272,85.80%,225,92,0,62,143,174,0,0,34,225,200,200,88.89%,0,313,54,123,102,0,0,20,92,72,72,78.26%,8,20,72,0,0,14,0,0,0,,0,0,0,0,0,0,229,217,217,94.76%,45,130,99,0,8,20,399,399,350,87.72%,17,53,346,0,49,23,249,471,471,350,74.31%,138,338,133,0,0,0
NJ-515,345,307,237,68.70%,212,133,0,68,196,146,3,6,15,212,212,142,66.98%,17,487,28,89,123,0,2,3,133,95,95,71.43%,40,107,23,3,4,12,0,0,0,,0,0,0,0,0,0,301,301,295,98.01%,71,173,128,0,14,5,314,314,314,100.00%,50,140,174,0,7,18,86,0,0,0,,0,0,0,0,0,0
NJ-516,250,174,165,66.00%,105,145,0,72,143,107,0,75,0,105,58,58,55.24%,0,212,57,105,0,0,0,0,145,116,107,73.79%,15,38,107,0,75,0,0,0,0,,0,0,0,0,0,0,129,129,127,98.45%,32,96,33,0,2,0,134,134,70,52.24%,12,35,99,0,64,0,101,9,9,0,0.00%,3,6,3,0,0,0
NM-500,1769,1664,1287,72.75%,1337,432,0,242,706,1020,43,80,87,1337,1277,1152,86.16%,0,10,154,480,825,32,32,32,432,387,135,31.25%,88,226,195,11,48,55,0,0,0,,0,0,0,0,0,0,696,445,445,63.94%,195,528,168,0,90,12,2567,2567,1964,76.51%,256,832,1735,0,480,22,1428,110,110,36,32.73%,27,68,42,0,0,0
NM-501,1706,1192,681,39.92%,1393,313,0,267,739,865,102,39,123,1393,967,476,34.17%,86,7,173,537,773,83,39,83,313,225,205,65.50%,94,202,92,19,0,40,0,0,0,,0,0,0,0,0,0,661,588,588,88.96%,138,373,222,66,83,102,1347,1347,802,59.54%,279,486,860,1,368,15,412,120,120,0,0.00%,120,120,0,0,0,0
NV-500,2709,2555,2555,94.32%,2067,642,0,234,682,2016,11,408,239,2067,1913,1913,92.55%,0,348,190,616,1445,6,61,122,642,642,642,100.00%,44,66,571,5,347,117,0,0,0,,0,0,0,0,0,0,1683,1683,1683,100.00%,281,1026,657,0,282,185,2328,2328,2328,100.00%,148,398,1930,0,1783,0,1007,1265,1265,1265,100.00%,200,720,545,0,20,6
NV-501,1482,1374,1060,71.52%,1156,326,0,158,265,1210,7,117,80,1156,1128,863,74.65%,0,56,101,187,962,7,24,40,326,246,197,60.43%,57,78,248,0,93,40,0,0,0,,0,0,0,0,0,0,193,92,92,47.67%,36,109,84,0,72,14,681,681,265,38.91%,47,135,546,0,438,0,78,14,14,14,100.00%,0,0,14,0,0,0
NV-502,204,123,119,58.33%,148,56,0,32,136,68,0,0,0,148,72,68,45.95%,0,0,20,95,53,0,0,0,56,51,51,91.07%,12,41,15,0,0,0,0,0,0,,0,0,0,0,0,0,70,70,70,100.00%,9,31,39,0,44,4,141,141,141,100.00%,16,46,95,0,111,0,0,49,49,17,34.69%,4,13,36,0,8,0
NY-500,835,786,776,92.93%,662,161,12,91,309,512,14,54,48,662,613,603,91.09%,20,18,78,283,371,8,0,8,161,161,161,100.00%,13,26,129,6,54,40,12,12,12,100.00%,0,0,12,0,0,0,453,453,453,100.00%,87,322,131,0,15,55,1394,1394,1394,100.00%,167,512,882,0,230,4,542,226,226,226,100.00%,52,147,79,0,0,0
NY-501,92,38,31,33.70%,52,40,0,28,76,16,0,0,0,52,10,7,13.46%,0,496,16,48,4,0,0,0,40,28,24,60.00%,12,28,12,0,0,0,0,0,0,,0,0,0,0,0,0,196,148,142,72.45%,45,141,55,0,6,0,309,298,137,44.34%,24,56,253,0,122,5,56,0,0,0,,0,0,0,0,0,0
NY-503,473,443,210,44.40%,314,157,2,56,140,333,0,35,16,314,284,167,53.18%,34,346,41,118,196,0,0,8,157,157,41,26.11%,15,22,135,0,33,8,2,2,2,100.00%,0,0,2,0,2,0,283,185,185,65.37%,46,149,134,0,43,0,822,822,812,98.78%,115,323,499,0,106,0,245,25,25,0,0.00%,2,5,20,0,0,0
NY-505,740,689,689,93.11%,580,160,0,66,212,510,18,51,40,580,529,529,91.21%,8,264,47,151,411,18,7,25,160,160,160,100.00%,19,61,99,0,44,15,0,0,0,,0,0,0,0,0,0,441,424,424,96.15%,85,285,153,3,14,42,946,946,946,100.00%,96,246,700,0,182,4,223,538,532,353,65.61%,109,304,234,0,5,0
NY-507,243,223,81,33.33%,173,70,0,26,66,177,0,0,12,173,153,64,36.99%,36,167,13,32,141,0,0,12,70,70,17,24.29%,13,34,36,0,0,0,0,0,0,,0,0,0,0,0,0,88,47,47,53.41%,11,20,68,0,1,0,435,435,435,100.00%,47,151,284,0,6,0,82,19,19,9,47.37%,3,9,10,0,0,0
NY-508,1546,1408,1351,87.39%,1102,444,0,172,589,928,29,50,29,1102,1037,986,89.47%,145,6,117,420,661,21,16,21,444,371,365,82.21%,55,169,267,8,34,8,0,0,0,,0,0,0,0,0,0,410,401,401,97.80%,59,198,212,0,22,0,1263,1263,1263,100.00%,45,122,1141,0,385,0,324,70,70,70,100.00%,0,0,70,0,15,0
NY-510,166,160,148,89.16%,121,45,0,12,24,142,0,0,24,121,115,115,95.04%,15,90,12,24,97,0,0,0,45,45,33,73.33%,0,0,45,0,0,24,0,0,0,,0,0,0,0,0,0,41,41,41,100.00%,5,16,25,0,0,0,123,123,123,100.00%,16,37,86,0,7,9,5,71,71,0,0.00%,10,30,41,0,0,5
NY-511,619,593,585,94.51%,558,61,0,50,158,461,0,13,15,558,532,524,93.91%,0,7,46,150,408,0,0,4,61,61,61,100.00%,4,8,53,0,13,11,0,0,0,,0,0,0,0,0,0,250,250,250,100.00%,31,92,158,0,0,5,503,503,493,98.01%,79,170,333,0,19,0,96,39,39,39,100.00%,3,5,34,0,0,0
NY-512,123,78,76,61.79%,84,39,0,33,79,44,0,0,2,84,53,53,63.10%,0,16,18,50,34,0,0,2,39,25,23,58.97%,15,29,10,0,0,0,0,0,0,,0,0,0,0,0,0,152,90,90,59.21%,45,100,51,1,1,4,695,511,372,53.53%,124,431,264,0,13,21,244,38,38,0,0.00%,10,28,10,0,0,0
NY-513,457,417,395,86.43%,334,123,0,72,181,276,0,20,0,334,294,277,82.93%,0,0,64,165,169,0,0,0,123,123,118,95.93%,8,16,107,0,20,0,0,0,0,,0,0,0,0,0,0,3,3,3,100.00%,0,0,3,0,2,0,167,167,167,100.00%,25,78,89,0,22,0,3,0,0,0,,0,0,0,0,0,0
NY-514,167,149,149,89.22%,140,27,0,24,60,92,15,3,24,140,122,122,87.14%,0,0,24,60,68,12,3,12,27,27,27,100.00%,0,0,24,3,0,12,0,0,0,,0,0,0,0,0,0,5,5,5,100.00%,2,5,0,0,0,0,16,16,16,100.00%,0,0,16,0,0,0,0,0,0,0,,0,0,0,0,0,0
NY-518,304,276,276,90.79%,267,37,0,47,136,168,0,10,10,267,239,239,89.51%,0,0,38,110,157,0,0,0,37,37,37,100.00%,9,26,11,0,10,10,0,0,0,,0,0,0,0,0,0,178,91,91,51.12%,39,138,40,0,5,14,429,429,429,100.00%,68,169,260,0,52,5,39,28,28,11,39.29%,5,10,18,0,11,0
NY-519,35,0,0,0.00%,23,12,0,12,25,10,0,0,3,23,0,0,0.00%,0,104,8,14,9,0,0,3,12,0,0,0.00%,4,11,1,0,0,0,0,0,0,,0,0,0,0,0,0,6,6,6,100.00%,1,1,5,0,0,0,48,40,40,83.33%,10,25,23,0,4,0,24,0,0,0,,0,0,0,0,0,0
NY-520,17,12,0,0.00%,17,0,0,2,6,11,0,0,0,17,12,0,0.00%,0,48,2,6,11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,27,27,27,100.00%,4,16,11,0,1,0,22,22,22,100.00%,4,11,11,0,7,0,2,2,2,0,0.00%,1,2,0,0,0,0
NY-522,37,11,11,29.73%,26,11,0,4,21,16,0,0,0,26,0,0,0.00%,24,113,2,17,9,0,0,0,11,11,11,100.00%,2,4,7,0,0,0,0,0,0,,0,0,0,0,0,0,146,146,142,97.26%,24,78,68,0,5,0,420,420,420,100.00%,70,247,173,0,0,0,25,0,0,0,,0,0,0,0,0,0
NY-523,120,102,102,85.00%,88,32,0,11,29,83,8,21,24,88,70,70,79.55%,101,142,7,21,59,8,8,15,32,32,32,100.00%,4,8,24,0,13,9,0,0,0,,0,0,0,0,0,0,61,39,39,63.93%,12,28,33,0,9,3,228,219,219,96.05%,33,98,130,0,80,0,64,35,35,0,0.00%,5,15,20,0,0,0
NY-525,122,54,54,44.26%,117,5,0,25,61,56,5,3,10,117,49,49,41.88%,84,514,25,61,51,5,3,5,5,5,5,100.00%,0,0,5,0,0,5,0,0,0,,0,0,0,0,0,0,273,238,238,87.18%,47,152,121,0,9,0,203,203,185,91.13%,18,64,139,0,25,0,12,141,141,141,100.00%,34,83,58,0,0,0
NY-600,91411,87538,79772,87.27%,87955,3416,40,15920,51402,39952,57,98,925,87955,84438,79137,89.97%,0,411,15800,51038,36868,49,58,740,3416,3060,635,18.59%,120,364,3044,8,0,185,40,40,0,0.00%,0,0,40,0,40,0,1501,886,886,59.03%,267,738,763,0,352,58,38633,37671,13616,35.24%,3088,8823,29810,0,4927,937,22486,7024,7024,0,0.00%,1752,5316,1708,0,0,0
NY-601,752,700,691,91.89%,588,164,0,111,303,437,12,9,18,588,566,557,94.73%,0,0,89,249,327,12,9,12,164,134,134,81.71%,22,54,110,0,0,6,0,0,0,,0,0,0,0,0,0,10,10,10,100.00%,0,0,10,0,0,0,276,276,259,93.84%,19,57,219,0,63,5,31,21,21,0,0.00%,0,0,21,0,0,0
NY-602,264,242,242,91.67%,217,47,0,43,138,113,13,0,91,217,195,195,89.86%,49,179,30,94,110,13,0,61,47,47,47,100.00%,13,44,3,0,0,30,0,0,0,,0,0,0,0,0,0,75,75,37,49.33%,17,43,32,0,5,0,297,284,255,85.86%,47,122,175,0,57,55,257,66,66,66,100.00%,15,60,6,0,0,0
NY-603,3545,3442,3442,97.09%,3424,101,20,610,2173,1362,10,103,56,3424,3350,3350,97.84%,0,0,594,2135,1281,8,35,34,101,72,72,71.29%,16,38,61,2,48,22,20,20,20,100.00%,0,0,20,0,20,0,702,638,638,90.88%,171,612,90,0,91,0,2428,2422,1698,69.93%,337,1193,1235,0,1001,5,1405,1323,1323,1323,100.00%,419,1164,159,0,0,0
NY-604,1634,1583,1592,97.43%,1112,522,0,367,1078,542,14,26,26,1112,1073,1070,96.22%,46,4,207,599,499,14,14,14,522,510,522,100.00%,160,479,43,0,12,12,0,0,0,,0,0,0,0,0,0,228,185,228,100.00%,59,174,54,0,4,10,1497,1497,1370,91.52%,224,553,944,0,351,70,3,3082,3082,2390,77.55%,772,2628,454,0,0,0
NY-606,73,63,63,86.30%,43,30,0,13,40,33,0,0,0,43,33,33,76.74%,55,4,13,40,3,0,0,0,30,30,30,100.00%,0,0,30,0,0,0,0,0,0,,0,0,0,0,0,0,32,17,17,53.13%,10,27,5,0,0,0,75,75,75,100.00%,13,35,40,0,8,0,21,170,170,0,0.00%,43,85,85,0,0,0
NY-608,89,72,71,79.78%,77,12,0,13,44,31,14,1,26,77,60,59,76.62%,35,265,11,39,24,14,1,14,12,12,12,100.00%,2,5,7,0,0,12,0,0,0,,0,0,0,0,0,0,37,33,33,89.19%,26,34,3,0,0,5,162,162,162,100.00%,30,83,79,0,26,0,67,36,36,36,100.00%,4,16,20,0,0,0
OH-500,991,862,862,86.98%,646,325,20,113,392,579,20,147,102,646,616,616,95.36%,210,89,65,253,373,20,16,56,325,226,226,69.54%,48,139,186,0,111,46,20,20,20,100.00%,0,0,20,0,20,0,1309,1207,1207,92.21%,245,876,433,0,105,122,1920,1920,1920,100.00%,190,636,1284,0,411,63,1920,12,12,0,0.00%,2,7,5,0,0,0
OH-501,604,514,274,45.36%,547,55,2,85,263,341,0,4,0,547,501,261,47.71%,35,54,67,215,332,0,2,0,55,11,11,20.00%,18,48,7,0,0,0,2,2,2,100.00%,0,0,2,0,2,0,71,71,71,100.00%,15,47,24,0,0,0,1027,1027,927,90.26%,133,394,633,0,73,41,538,267,267,0,0.00%,22,41,226,0,0,0
OH-502,1507,1462,1270,84.27%,1369,93,45,104,364,1116,27,99,77,1369,1324,1132,82.69%,106,197,99,354,995,20,6,52,93,93,93,100.00%,5,10,76,7,68,25,45,45,45,100.00%,0,0,45,0,25,0,1004,1004,1004,100.00%,221,707,297,0,132,122,5711,5711,4255,74.51%,729,2660,3051,0,572,4,800,0,0,0,,0,0,0,0,0,0
OH-503,1321,1154,1154,87.36%,1148,173,0,173,554,754,13,79,112,1148,1028,1028,89.55%,412,236,144,468,668,12,39,12,173,126,126,72.83%,29,86,86,1,40,100,0,0,0,,0,0,0,0,0,0,545,527,545,100.00%,105,361,184,0,141,94,3486,3486,3442,98.74%,269,899,2587,0,526,61,2985,0,0,0,,0,0,0,0,0,0
OH-504,257,233,33,12.84%,237,20,0,47,140,117,0,7,0,237,213,13,5.49%,0,0,44,130,107,0,0,0,20,20,20,100.00%,3,10,10,0,7,0,0,0,0,,0,0,0,0,0,0,113,113,113,100.00%,19,69,44,0,12,5,497,497,456,91.75%,102,330,167,0,41,0,239,45,45,4,8.89%,0,0,45,0,4,0
OH-505,591,534,534,90.36%,474,117,0,65,173,410,8,44,86,474,429,429,90.51%,0,120,55,150,316,8,14,24,117,105,105,89.74%,10,23,94,0,30,62,0,0,0,,0,0,0,0,0,0,295,228,228,77.29%,59,192,103,0,46,27,1436,1436,1371,95.47%,151,456,980,0,219,0,494,0,0,0,,0,0,0,0,0,0
OH-506,533,443,443,83.11%,279,232,22,52,148,371,14,32,36,279,228,228,81.72%,70,0,39,117,154,8,0,13,232,193,193,83.19%,13,31,195,6,20,23,22,22,22,100.00%,0,0,22,0,12,0,391,195,195,49.87%,72,228,163,0,25,22,709,709,709,100.00%,88,271,438,0,122,12,358,0,0,0,,0,0,0,0,0,0
OH-507,3430,2509,1831,53.38%,2674,756,0,545,1700,1721,9,128,69,2674,1920,1363,50.97%,116,237,397,1268,1401,5,47,5,756,589,468,61.90%,148,432,320,4,81,64,0,0,0,,0,0,0,0,0,0,1363,1363,1363,100.00%,267,878,485,0,221,141,3677,3677,3596,97.80%,594,1582,2095,0,891,9,1370,219,219,27,12.33%,0,0,219,0,20,0
OH-508,282,208,208,73.76%,253,29,0,57,160,122,0,14,0,253,200,200,79.05%,0,31,53,140,113,0,6,0,29,8,8,27.59%,4,20,9,0,8,0,0,0,0,,0,0,0,0,0,0,181,181,181,100.00%,58,147,34,0,11,0,592,592,522,88.18%,84,217,375,0,77,7,412,103,103,103,100.00%,16,56,47,0,0,0
OK-500,271,182,140,51.66%,191,80,0,40,144,93,34,0,41,191,102,60,31.41%,0,36,27,119,39,33,0,33,80,80,80,100.00%,13,25,54,1,0,8,0,0,0,,0,0,0,0,0,0,39,24,24,61.54%,9,17,6,16,0,16,20,20,20,100.00%,0,0,20,0,0,0,0,0,0,0,,0,0,0,0,0,0
OK-501,787,672,672,85.39%,546,235,6,104,251,516,20,35,77,546,513,513,93.96%,0,0,66,161,365,20,0,20,235,153,153,65.11%,38,90,145,0,29,57,6,6,6,100.00%,0,0,6,0,6,0,638,608,608,95.30%,72,310,328,0,509,8,567,567,313,55.20%,10,39,528,0,254,8,280,182,182,7,3.85%,40,65,117,0,7,0
OK-502,1253,1202,1057,84.36%,1005,218,30,84,396,843,14,68,125,1005,954,894,88.96%,0,5,53,310,681,14,8,54,218,218,133,61.01%,31,86,132,0,60,71,30,30,30,100.00%,0,0,30,0,0,0,237,237,237,100.00%,39,122,115,0,0,0,973,973,621,63.82%,80,266,707,0,352,0,373,0,0,0,,0,0,0,0,0,0
OK-503,118,70,0,0.00%,118,0,0,6,39,79,0,0,0,118,70,0,0.00%,0,4,6,39,79,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,18,18,3,16.67%,6,11,7,0,0,0,46,46,34,73.91%,24,30,16,0,5,11,46,0,0,0,,0,0,0,0,0,0
OK-504,139,133,122,87.77%,125,14,0,16,46,92,1,12,18,125,119,119,95.20%,0,0,15,43,81,1,11,15,14,14,3,21.43%,1,3,11,0,1,3,0,0,0,,0,0,0,0,0,0,22,22,22,100.00%,4,10,12,0,1,4,79,79,54,68.35%,18,28,51,0,1,30,11,0,0,0,,0,0,0,0,0,0
OK-505,196,143,30,15.31%,194,2,0,55,102,94,0,0,2,194,141,30,15.46%,0,11,55,102,92,0,0,2,2,2,0,0.00%,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,34,34,34,100.00%,12,20,10,4,0,18,11,11,11,100.00%,0,0,11,0,1,0,0,0,0,0,,0,0,0,0,0,0
OK-506,108,83,77,71.30%,108,0,0,15,42,66,0,0,0,108,83,77,71.30%,0,0,15,42,66,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,43,43,43,100.00%,9,31,12,0,0,0,14,14,14,100.00%,4,9,5,0,0,0,3,0,0,0,,0,0,0,0,0,0
OK-507,532,363,144,27.07%,532,0,0,61,163,340,29,34,29,532,363,144,27.07%,12,54,61,163,340,29,34,29,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,147,147,139,94.56%,19,64,83,0,90,0,105,105,19,18.10%,8,26,79,0,86,0,23,0,0,0,,0,0,0,0,0,0
OR-500,892,874,852,95.52%,777,115,0,41,142,730,20,29,62,777,759,737,94.85%,0,46,41,142,629,6,5,12,115,115,115,100.00%,0,0,101,14,24,50,0,0,0,,0,0,0,0,0,0,297,297,297,100.00%,59,195,102,0,93,6,991,991,991,100.00%,84,258,733,0,357,25,358,0,0,0,,0,0,0,0,0,0
OR-501,2648,2569,2281,86.14%,1830,818,0,138,411,2228,9,255,120,1830,1751,1633,89.23%,0,0,121,367,1457,6,131,66,818,818,648,79.22%,17,44,771,3,124,54,0,0,0,,0,0,0,0,0,0,3655,3421,3285,89.88%,706,2315,1340,0,307,229,5560,5480,4917,88.44%,594,1919,3641,0,813,71,1342,146,146,134,91.78%,35,95,51,0,0,20
OR-502,679,665,587,86.45%,375,292,12,104,275,395,9,74,19,375,361,347,92.53%,0,0,36,112,255,8,7,8,292,292,228,78.08%,68,163,128,1,55,11,12,12,12,100.00%,0,0,12,0,12,0,153,153,153,100.00%,30,78,75,0,54,3,481,481,168,34.93%,207,298,183,0,313,0,113,3,3,0,0.00%,0,0,3,0,0,0
OR-503,503,479,376,74.75%,419,84,0,67,131,366,6,0,22,419,395,359,85.68%,44,0,56,112,304,3,0,5,84,84,17,20.24%,11,19,62,3,0,17,0,0,0,,0,0,0,0,0,0,67,67,67,100.00%,18,59,8,0,2,0,133,133,32,24.06%,6,19,114,0,100,0,130,210,210,0,0.00%,54,136,74,0,4,0
